inclination_deg,N,spacing_deg,min_coverage,mean_coverage,full_coverage_time_ratio,mean_overlap_ratio,normalized_overlap_ratio,max_gap_time_min
40.0,1,360.0,0.0,0.09772014669373258,0.0,0.0,0.0,95.50211815557677
40.0,2,180.0,0.0,0.19544029338746516,0.0,0.0,0.0,95.50211815557677
40.0,3,120.0,0.0,0.2931604400811977,0.0,0.0,0.0,95.50211815557677
40.0,4,90.0,0.07922940828868179,0.38818052474352954,0.0,0.0027000620314007405,0.017095053115374535,95.50211815557677
40.0,5,72.0,0.2942284788381947,0.44042723434392006,0.0,0.04817349912474283,0.08331834692180622,95.50211815557677
40.0,6,60.0,0.4188206148259249,0.4976227719899866,0.0,0.0886981081724087,0.113501644003132,95.50211815557677
40.0,7,51.42857142857143,0.4550567325948777,0.5651357650486276,0.0,0.11890394194181553,0.13885917337723144,95.50211815557677
40.0,8,45.0,0.4568911348656309,0.6237547960759522,0.0,0.1580063774739083,0.18168991911224475,95.50211815557677
40.0,9,40.0,0.4550567325948777,0.6469290016384621,0.0,0.23255068514762728,0.2613540785423053,95.50211815557677
40.0,10,36.0,0.455056732594878,0.6469942487292594,0.0,0.33020721820806626,0.3405263078490524,95.50211815557677
40.0,11,32.72727272727273,0.455056732594878,0.6633464716104739,0.0,0.4115730581764384,0.38447114266918514,95.50211815557677
40.0,12,30.0,0.5342861408835595,0.6888202416171467,0.0,0.4838215187076439,0.4119340413881439,95.50211815557677
40.0,13,27.692307692307693,0.6205578294501377,0.7027339872924898,0.0,0.5676254437248667,0.44658370100371014,95.50211815557677
40.0,14,25.714285714285715,0.6677774959323428,0.703607035932605,0.0,0.6644723780482814,0.48559236865335464,95.50211815557677
40.0,15,24.0,0.6583248596027468,0.7053970701864621,0.0,0.7604051302195264,0.518406831770161,95.50211815557677
40.0,16,22.5,0.6818875486531004,0.7119350998819309,0.0,0.8515846256422122,0.5443335195400301,95.50211815557677
40.0,17,21.176470588235293,0.6868394543789846,0.7139180167180675,0.0,0.9473212455880327,0.5701866676388184,95.50211815557677
40.0,18,20.0,0.691200876664916,0.7153813212949669,0.0,1.043578052277212,0.5933123759916656,95.50211815557677
40.0,19,18.94736842105263,0.6948982976456168,0.716621173984887,0.0,1.1400580026098444,0.6140473023569876,95.50211815557677
40.0,20,18.0,0.6980597223881125,0.7176797304096215,0.0,1.2367232034650297,0.6327564164794836,95.50211815557677
40.0,21,17.142857142857142,0.7007837847427105,0.7185929821085337,0.0,1.333526138862796,0.6497260982534617,95.50211815557677
40.0,22,16.363636363636363,0.7031474663052572,0.7193843456033197,0.0,1.4304547139705048,0.6652494056207643,95.50211815557677
40.0,23,15.652173913043478,0.7052115515650643,0.7200751398332396,0.0,1.527483852336827,0.6795662596560148,95.50211815557677
40.0,24,15.0,0.7073498829403108,0.7206821326590513,0.0,1.62460138799053,0.6927109383547453,95.50211815557677
40.0,25,14.4,0.7086255352157046,0.7212162965118325,0.0,1.7217873708314817,0.7047541961957049,95.50211815557677
40.0,26,13.846153846153847,0.7100462916111275,0.721692230291322,0.0,1.8190266317433912,0.71589906763012,95.50211815557677
